Год,Показатель,Значение,Доля_%
2016,Долгосрочные активы,5521,61.09328316919331
2016,Краткосрочные активы,3516,38.90671683080668
2017,Долгосрочные активы,5749,59.31084287630248
2017,Краткосрочные активы,3944,40.68915712369751
2018,Долгосрочные активы,5151,55.52441522043764
2018,Краткосрочные активы,4126,44.47558477956236
2019,Долгосрочные активы,5151,55.52441522043764
2019,Краткосрочные активы,4126,44.47558477956236
2020,Долгосрочные активы,4423,42.24854331836851
2020,Краткосрочные активы,6046,57.75145668163149
2021,Долгосрочные активы,4985,42.339052148802445
2021,Краткосрочные активы,7253,61.60183455070495
2022,Долгосрочные активы,9677,81.68312652992319
2022,Краткосрочные активы,7146,60.31906811851101
2023,Долгосрочные активы,10339,61.45752838376033
2023,Краткосрочные активы,7349,43.68424181180527
